label,sent
0,by the time I finish this rhyme you ain't gonna have time to try so please young man please feel free to speak your mind
0,if you understand spanish i told you on english you're a fucktard so let to speak with my best friend and me bye and thanks
1,I love it when avocados are mushy on one side and completely unripe on the other.  
0,I can't wait to speak to my baby today so she can tell me how her day was
0,Why Pakistani media give so much importance to Altaf Hussain. All channels showing his video speech. Drunk bastard he can't even speak
1,i'm glad i pay almost 4 grand for this class just for the professor to read me the documents he posted on blackboard. 
1,Going to a study session drunk.  
0,I just wanna see if she gon play hard to get so I can have a reason not to speak
0,Thanks so much great to speak to you. Stay in touch!
1,I love how people in my school think it's a joke that someone wants to get involved in charity. 
1,Great way to end the day 
1,Having two days off means leaving the office at 11pm on a Monday. Cool!  
0,"Hi Jacob, When are you free so need to speak with you my brother re all things discussed at launch lol! holla at me asap plse"
1,I have twitter.  Maybe I'll make friends.  But probably not. 
0,The silent treatment hurts so much that I rather argue to have you just speak to me
0,I follow so many ppl on social networks but they look in my face but don't speak . It's okay to speak I don't bit !
0,"Congratulations to Katrina Spooner, who has been asked to speak at the ElderCouncil this Friday! We are so proud..."
0,Feels so cool being able to speak to the natives en espanol! I wish I knew Catalan
1,"Being dry with me is a pet peeve , dont act like im forcing you to speak to me. So i just won't reply ."
1,I literally do not understand rush hour traffic. The tollway is huge. Why do I just sit here?   
1,I'm executing my fathers estate and need to speak with somebody so I'll call later. Thanks.
1,Getting high of morphine at the hospital 
1,I LOVE IT WHEN I DON'T GET PAID FOR THE HARD WORK I DO AT MY JOB!!!   
1,"Talking about  this and that, why don't we just give away money!! I'm sure the  would love that!   "
0,I'm so fucking liberated to speak my mind. It took for me to become a writer to do it.
1,I'll just eat a few then I'll put them away 
1,Glad I waited til 2 hours before I have lab then have to immediately do my seminar on my research to start it.  
1,I just love sleeping thru alarms and nor going to classes im paying thousandths for 
1,I just love how people try to tell me how I should feel. 
1,I literally almost get in a car accident at least once a day...   
0,I feel so lucky to say that I was able to hear speak to RCAH today! Thank you !!!
0,Every Aquarius I know sounds so funny when we try to speak current slang...
0,I decided to speak english so much.who want to do the same thing?
0,these children haha. I'm still a kid so I have no room to speak.
0,"I'm so fed up with everything, omw to the bud mans house as we speak"
1,I am so fucking depressed. Listening to Alan Cochrane speak is like listening to Darth fucking Vader after an intelligence bypass. 
0,wanted to speak to someone about making a complaint but on my mobile so would prefer not to ring an 0800 number.
1,I'm going to be so late on getting iOS 8    
0,About to hear Robert Shiller speak at my school so that's pretty awesome.
0,sometimes i say things and im like wow why did god give me the ability to speak im so dumb
0,about it and I called my mom at lunch but she kept saying hello? so I gave my phone to my friend to talk for me bc I couldn't speak
1,I'm glad my pets missed me while I was gone!!!   
1,I literally almost passed out because I went to shower and there was a huge bug in the shower. 
0,I'm helping Sunset Strip Music Festival Jane's Addiction. Need to speak w/ you. Plz follow me so I can private message u
1,Another class display by Ozil 
1,The slamming of the doors is the best wake up call ever  
1,I mean who doesn't love seeing the hatred in someone's eyes as they look at you tweet
0,"Thank you so much! No, I was asked to speak at a rehab hospital."
1,good luck with your new drummer then! I am sure he'll be loved. 
1,nothing gets me quite as hard as losing ranked games over and over and over. LOVE IT. SO MUCH.    
1,"Hello nightmares, I missed you "
0,i know but i get so nervous when i try to speak it that i'll say something wrong so i don't speak it when i neEeEeEd to
0,I'm gonna learn how to speak Portuguese so we can talk
0,"I'm gone sweep you off yo feet til you can't breathe ,cant speak . Put you to sleep so deep up in yo crease .You can't compete"
0,"Are you still in NYC this week? If so, would love to speak with you about an awesome opportunity!!  "
0,I live for this video
0,"hi,i wish to speak with you so hmu on my cell"
0,If another MF tells me I gotta get married soon imma slap the bitch so hard he/she wnt be able to speak again!! 
0,im going to sleep now so hope you have a lovely day and i will speak to you tomorrow! love you the most
1,3 bad days in a row... body you're doing great
1,I love when twitter follows people for me... 
1,A/C in my class never works. Tuition money at work right there. Thanks !!   
0,"Everybody that comes into our party to play has questions. Most don't even understand everything. So, I speak for most."
1,Had a dream that I went on a tour with all of my favorite skateboarders and none of them would speak to me. Bummed me out so hard
0,"I'd like to. Maybe spanish, bc so many ppl speak it here in California."
1,I love it when my tumblr dashboard is filled with grey boxes. Saya.   Fifth On SingingBee
1,"glad the football player who beat his child is sorry and will only have to miss one game. i mean, why punish the victim in this.   "
1,Danny Welbeck is definitely doing for Arsenal what Sturridge is and has done for Liverpool! 
1,bitches be wear'n anything. Why in the mirror all obese think she sexy  
1,Best start to my birthday ever! !!!
1,i just love when people don't send a snap back  
1,Nothing a smile can't FIX. Not even tissues?  
1,I mean it's not like I've been a British citizen from birth and now just want to get my daughter a passport   
0,you ever wanna whop somebody ass so bad u don't even speak on it u jus wait til u see em to tolerate
1,My day is off to a fantastic start 
1,"Good call, ump. it's called a ball when it's outside."
0,"Enjoying another pleasant, not at all crowded journey with     "
0,but when bands go to other countries so say like and english band went to france would theh speak in between songs????
1,don't you love feeling like every single person you care about hates you? I know I do
0,Everyone deserves a chance to speak to their sunshine so good luck everyone      
0,"if you speak to an intellectual, well educated 'true' muslim then you will beg to differ. There are so many Muslims you r yet 2 meet"
0,If i don't trust you i don't like you. If i don't like you i don't speak to you. So if i aint speaking to you it's your fault.
1,guess it was a great day to wear sandals 
0,"I have no filter anymore so like if you dont like what I have to say I dont care, I just speak my mind"
1,   Your ideal clients need for you to speak their language so they know you're the solution to a problem they have.
0,when i saw her walking down the street she looked so fine i just had to speak
1,Concussions are coool. 
1,I might punch someone in the face today so fair warning to anybody I speak to
1,I love when it rains hard before work then the sun comes out to make it humid af!   
0,"I know it can often be very difficult, and I don't want to speak as an actual parents because I'm so not, but I agree."
1,I love spending $71 on supplements!! 
1,I'm glad the quiz questions correspond with the chapter 
0,When I speak to bae sometimes I get so excited that I think I'm going to throw up
0,So cool to have the AD of the school you're playing Saturday speak to your class. Thank you
0,I worry that when I speak it's annoying to others so I tweet a lot and that way you have the option to not see what I have to say
0,I wish I knew how to speak wine. Wine talk is so lavish.
1,I absolutely love third wheeling. 
0,I don't know how it was worded to you so I can't really speak about specifics but I guess we all have our own opinions
1,Been in chem for an hr and 20 min and we have gotten through 7 slides  
0,"I would love to see the ""hundreds"" of complaints. Scary that you claim to speak in behalf of so many."
1,I love how I have so much energy when I want to go to bed. 
0,"I hate my little cousin on IG. She wants to be a paisa so bad. Like bitch you don't speak Spanish, your mom don't, your grandma dont either."
1,I love waking up in the middle of the night to cramps. 
1,"Good job, NFL, you really know how to handle criminals.  "
1,oh how I love playing phone tag 
1,I literally tell people not to sit by me in this class cause I hate them... 
1,I am so excited to focus on new characters for the last season of Glee when we still have the old ones to focus on......
0,God said that He will be w/ us to the very ends of the world. So when you feel like giving up .. just speak to God. He hears you everytime.
1,I literally had no idea what I was doing on those exams.But I managed to pass 2/4 AP tests this year with little to no studying!
0,My daddy taught me how to speak my mind My sister taught me I should speak my mind My man make me feel so goddam fine I'm flawless
1,"Because we can kill viruses... Hypocrite Obama Decides to Send Troops Against Ebola, Not ISIS via"
1,Im laughing so much      by kayleighhh89
0,I love fundraisers. Schools you can made so much off sports fundraising. Contact me I would live to speak with...
0,I jus wan no y u didnt speak to her — She ont speak so i dont speak
0,"yes it does! Aha I wish, if only eh! Well I'm gonna catch an early night so I'll speak to you in a couple of days hun xx"
0,I'm So Erked Nobody Better Not Speak To Me
1,Absolutely in love with ppl that ignore me 
0,I love learning the study of how children learn to speak it changes so quickly in just a few short years. 
0,I hope so! Maybe you'll have more luck than me getting him to speak Spanish!
1,"I love not having word on my computer its great, I can open up everything on blackboard. "
1,Good thing the SAS advisors are so nice and helpful!!!!!  
1,I love cleaning as soon as I wake up. 
0,"If I may be so bold as to speak for the group, your Chamonix peeps are so excited for you! 19 years ago. Life sure is ."
0,Bitches know so much til it's time to speak up...then you hear crickets
1,Falling asleep to the sound of screaming is truly a beautiful thing 
1,I just love how my manager thinks I could handle anything.. tweet 
1,An artist render of the world on Friday the 19th in the event of a .  
1,"I love playing ""find the error"" in Accounting. "
0,How lovely. It's too damn hot in the bed. Let's stay awake for another night 
1,A sucky day is about to end and ultimately lead to another sucky day. I'm just so excited.   
1,i am so anxious tonight and i am home alone and no one is awake to speak to n nothing's working this is not fun
1,I just love writing 3 page essays first thing in the morning on a Monday 
0,I know that I'll love it but my fave country is Denmark cuz my love is there I want to go to Germany cuz I speak german so idk
1,A coworker just told me i look tired and i said thanks and he was like that wasnt a compliment.. well that made my day so much better 
0,Girls that act like boys are so much better to speak to than normal girls
0,"if speak in spanish to you, im so fucking sorry for every mistake im about to make."
1,"To the guy who was just singing as he walked past our bedroom window, thank you very much for the wake up call! "
0,I can't wait to get access to these systems so I can actually start working. I'm bored. But let me not speak too soon.
0,"I have to be up for court tomorrow , I'm like so nervous idk how to speak to a judge lol im a good girl , idk how this shit works"
1,I love being ignored 
0,"I honestly think that you speak to so many different topics in a voice that hits home, that you need a talk show."
0,Everyone has so many online friends then I have one that I barley speak to anymore lol
1,Exactly the kind of email I wish to receive after unsubscribing from an email list. 
0,"I have so many mutuals that I don't speak to, speak to me, I don't bite"
0,my dad told me to speak to his wife so she doesn't go off wtf I'll fight her.
1,good thing we didnt have a real summer this year.
0,"I hear the same shit everyday, Jemma do you have to speak so loud? Do you ever answer your phone? Replace the towel! Concentrate..YAWN"
0,Janet Street Porter needs to let people speak and not be so rude.
0,"When u speak, u get judged. when u remain silent, people think u're weird. One of the reasons why people need to stop being so judgmental."
0,"So, the people who get sacked from Centrelink will have to speak to someone overseas who took their job..."
0,So cool to have had the opportunity to hear former editor Harry Rosenfeld speak about journalism from Watergate to today
0,"i hate how everyone in this world is so fuckin suspect and secretive. when it comes to certain shit, at least speak what you feel.. fuck"
1,I just love it when my work PC refuses to work 
1,I'm currently exhausted and look like shit... Yay for being called into work... 
0,"I find myself frustrated to. But as a VC leader, a bit reluctant to speak out so vocally."
1,"Teacher is too fast, boring and says too much things to know what to write yaaay   "
0,Thank you so much!! I'd love to speak to you about 
0,Don't understand how one minute you can be so close to someone and then just not even speak when you see them
0,Why tf are you trying so hard to speak like you are uneducated?
0,"I could live here, could you?"
1,Glad our new email is working so flawlessly   
0,I hate when you're at the grocery store and a good song comes on but the workers proceed to speak so much over the intercom like come on!!
1,having fun in English lab 
0,"There is only like 2/3 people that i can speak to so much and not get bored or tired of, even if i havent seen/spoken to them in so long"
0,Sometimes I cant even be bothered to speak so I just stare at people when they talk to me
1,I am living for my Frnds..  for you 
1,I don't like for the fruit to be forward in my cup of Java.   
0,I can speak to you so honestly I can't even run any game I can hear a million angels singing in my ears when I say your name
0,ACT SO DIFFERENTLY HE NEVER USED TO SPEAK TO ME THE WAY HE SPOKE TO OTHERS AND THEN LAST NOVEMBER I FOUND OUT +
0,"Yes. I worry for you always, but not for others. Unless you worry, I won't. So, do speak to me?"
1,Delighted to pay to watch two awful performances at Anfield in the space of 4 days
0,i get so annoyed when people try to speak to me whilst i'm listening to music
0,I wish some people would realize how they speak to us at work.. Some people are so rude.
0,"if you want to be cool, we can be cool. but your appraisal of the event is based on limited knowledge, so speak softly"
1,I love being up half the night unable to breathe and coughing 
1,Good thing I was prepared for the rain. In my white shirt. With my resume paper and laptop in my bag.  
0,"Ah, i speak dutch so i understand some words. But were is Austria, is it near to Germany?"
0,Wanting to be alone with your thoughts on the morning walk but having to speak to neighbors so as not to seem rude. 
1,"I'm gonna let it slide today, but next time this fat douche decides to come in the library and speak so loudly this early it's over."
0,If you have an accent ill probably force a conversation just to hear you speak lol I think its so beautiful and different
1,Im going back...  
0,I do as well. Are you planning on shooting a music video for your new single? If so email me to speak further into it g.
1,Gonna be another long sleepless night. Might as well do college work. My life is so interesting.. 
0,I know you'll never follow me but hey today is my lucky day you'll neverknow
0,I really want to go visit my family in Spain but I also speak no Spanish and my FAM is super old so I have no turn up buddies.
0,I have to do a presentation in the morning with a girl that doesn't speak English OR Spanish so ima be completely lost
1,"Hahaha wait, tell me again about all your horrible life problems!   "
0,If you would just shut your mouth and listen... Don't be so fast to speak.
0,I can see the dead. So I'll speak to their dead loved ones and ask them to haunt them.
1,I love when my professor asks someone to speak up so we can all hear and they say ok then talk the same .... Okay thanks lol
1,I just love being 5ft9.
0,yo mama's so topical they invite her to conferences to speak about current events
1,Another private audience. Why is Mr Cameron so scared to speak to ordinary Scots? 
0,I know ! Honestly I'm really happy you understand what I'm saying. It's the most stressful thing for me to just speak up so I
1,I love that pappadeaux let's me get off work around traffic hour.  
1,I love slowly loosing friends. It's the best feeling ever lol   
0,"If you wish ten good things for your country, one might, thanks to God, be granted...so, speak well of self, family and country"
1,Being sick was obviously the highlight of my day!!   
0,People really fake and be so quick to speak on how real they are lol
1,I love how Tina can't pick up my calls or reply to my texts but she can like my Instagram picture!! 
0,I just find it funny when people in my family talk like a dog bout me when they fuckin up to.. so from here on out ..i speak when spoken to
0,I LITERALLY HAD THE WORST DAY OMG 
1,I literally go grocery shopping to relax. Nothing is more calm to me than a three hour trip to Walmart. 
0,I hope it is. Smh I hate English. We already speak it. And I'm damn sure no one in here wants to be an author so what's the point
0,If you know something that is so bad that it will destroy the  are you prepared to speak up? We need...
0,"I love listening to people speak different languages, it's so interesting."
1,I love waking up the the smell of weed in the morning 
0,"Just finished a dry run of my  talk! Just about 54 minutes, so I need to cut some slides for sure... or learn to speak really fast!"
1,"I may have a gluten allergy, which was y'know... the news of the day. Fuuuuuuuuuuuun   "
1,Great way to start off my morning 
1,I like fake smiles and   
1,"If u think u r so perfect, then don't even speak to me."
0,"actions show who someone really is, words just show who they want to be so speak to me with your actions"
1,Don't you just love when you lock yourself out of your apartment
0,"So cute he learning how to speak two or more words at a time. ""Go there sit sit"" even though its here not there."
0,"First time to ever speak on the mic, not so bad"
0,"I heard this guy say ""Peewdiepie"" in class and i was about to fangirl with him when i realized, i don't like that guy so i wont speak to him"
1,I love it when my phone starts to act up like this   
1,Going through all your Android devices and updating them and their browsers is SUCH fun! 
0,I have so much stuff to say to you but ik when it comes the time to speak to you I'll forget all the stuff
1,I love shoveling out tons of money for new tires on my car. 
1,Awesome just found my lingerie and scrap booking boxes. Just what I've been missing. 
1,I love spending my whole day off doing homework 
1,Another day that's off to a great start...   
1,I love it when I sleep through my alarm and i'm late for work!!! 
0,"Don't put your life at risk for crappy, cliche railroad track photos."
0,Ion wanna link with no one. Please speak up when you see me tho. So I'll know how to handle you
0,just been informed we are going so speak to matt
1,I'm just having the most greatest day... 
0,Thank you for coming to UCO to speak to us! So inspiring and empowering!    
0,"i find it so funny when customers ask to speak to the manager, shit go ahead lmfao"
0,but the week after they gave me another chance and i got to speak to them !!! so maybe something rly good will happen soon oo
0,Just cos I speak to other people doesn't mean I'm 'leaving you all' I don't even like you anyway so why's it matter
0,Thanks so much for your time today Freddie. Was great to speak to you and I hope the academy is a huge success.
0,"IK has given us courage to speak against these so called VIPS, ab chahai wo banni galla jayai ya kaheen or "
1,"At least I don't have to stay up late night    ... and ""Get him on a plane.. Bring him home from spain """
1,I'll just have 2!     
1,Holy crap!! Panic!  is top story on CNN's US news feed. only ever report important stuff!   
0,"yes, it is. But it's also terrible what happened to the poor kid she doxxed."
1,For the first time in my life I literally spent an entire weekend doing school work and reading... 
0,gonna teach him how to properly speak in english and etc my life is so so nul a chier but awespme at the same time
1,I love the fa to that townies can come protest on campus freely 
1,nothing captures her attention more than a lizard on the ceiling       
0,Want to learn to speak Icelandic. Rosetta Stone doesn't have Icelandic so Mighty Ducks 2 it is. !     !
0,I can't speak to your preferences. But I can say that this is the 1st big AAPL initiative so completely tied to existing ecosystem
0,When someone expects you to speak... You didn't speak to me so why should I? 
1,I just love getting inside headers. Beater inspection Very therapeutic! tweet  
1,I love how others make their problem mine  
0,yes he speaks it very well. All the gujju community will be happy to hear him speak it so well.
0,I really want to learn how to speak French. French just sounds so cool.
1,"I literally had to delete more than 50% of my apps, and multiple msg threads bc iOs8 required so much freakin' space. "
0,There's no one I can speak to. I'm so sad it's unbearable
1,I like that! It makes me want to vote yes! !!
1,I love it when my ipad randomly disconnects from the Internet and won't reconnect   
1,6.15am. Just got busted a new one by but still smiling lol  
1,I love that I have to delete 2.5 more gigs just so I can install an update...
0,Wanting to have one person you feel you can speak to so to help you through depression
0,"I love eating lunch with nothing but me, myself, and I.     "
0,Bitches be so bored they mfs lives that they feel the need to speak on somethin that doesn't involve them
0,There's so much shit I don't speak on because I'm not informed enough to have an educated opinion
0,"I hate how you can be so used to talking to someone everyday and in the blink of an eye, you just don't speak anymore. Ever."
0,I can't even speak my second language so asking me to speak in Spanish for class is probably NOT going to happen
0,ah im so envious of you im chinese and i go to a chinese sch so i dont hv friends who can speak malay sarawak
1,I love it when automatic doors don't feel like being very automatic   
0,"Just heard someone refer to their sunglasses as ""sunnies"" so now I never want to speak to another human again."
0,I'll dead ass walk pass people I know and act like I'm on my people so I won't have to speak if I don't feel like talking
0,THERES A KOREAN GUY IN OUR SCHOOL AND MY FRIENDS AND I ARE TRYING SO HARD JUST TO GO SPEAK TO HIM
0,sometimes you have to speak out on what you feel is right when it's so much controversy goin on right now IMO
1,Anxiety attacks are just loads of fun
1,I just love how I can go to my friends for advice. tweet
0,"Sometime wonder why I speak to josh he's so horrible to me, DICK"
0,yes I can imagine. That's why Jews who speak out seem so heroic to me. Must be very hard.
0,I'm going to learn how to speak Japanese so I can read that magazine
1,I look really good without makeup.... 
1,I love sitting alone in class 
0,I hate Wednesday's because non of my friends finish early so I'm just left with nobody to speak to until 3.30/4 until they finish
1,I love the fact that you can spend your day off taking selfies and hanging out with your boyfriend instead of with your kids 
0,So the protesters are planning on disrupting this council meeting too. They act as if when they ask to speak at...
1,At least it was a great sports weekend!! 
1,At least I can remember my last night in toast  
0,ahh...I can't do tomorrow now!ill be in in half an hr so speak to you then if you're there xx
1,I love it when I send her something about TFIOS...she obviously loves it too...  
1,Good think I sent that text for you to read.. No need to reply or anything   
0,But yet again I don't speak to anyone important so I can't complain ab conversations lmao
0,"people expect more time to speak I love you, I'm sorry, forgive me, time is precious, so I'll talk to whom I love;"
1,"I love spanglish, its so fun to speak like that, asi no mas te entienden mitad de las chingaderas que dices. Lol"
0,Sometimes I think about expressing my opinion. But then I remember that I haven't learned or seen enough to speak. So I listen and learn
0,You about to go over to Greece? RT So I gotta learn how to speak Greek?
1,English this morning oh the joys   
0,I'm so excited to hear speak today! Thanks
0,I intentionally sat at the table with only one chair so people would not speak to me could u not
1,nothing gets to me anymore. im unbothered by a lot of shit. so i won't fix my lips to speak on it. it's whatever really.
0,conservatives don't need other languages they wanna talk to me they better speak English *sarcasm but so true
0,I just got along with it most of the time so I don't have to speak to them at all.
1,I'm at my state fair and all kids get in free today and the line to get in can't be any longer.    
1,The fact that the same Adam Levine song is playing and three radio station simultaneously really speaks to how good radio is   
0,Wanting to speak to someone for so long but when you finally do things only get worse..great start to the day. Fs
1,I just noticed that I liked almost every post of yours in Instagram. I like your face too much haha    
0,I get so paranoid when people next to me speak another language
1,I should dress up for school more often lol 
1,"exactly so haters need to stop trying to speak their so called ""knowledge"" until the games over because then you look foolish"
0,Why should it take Crimewatch for people to phone in? If youve seen a crime then you know youve see a crime so speak up earlier
0,"if you wish to correct a persons behavior, do so by applicable means; speak of their position, their possessions, their responsibilities"
1,Currently have a customer that cannot speak properly and has to talk with a notepad. So much respect for having to live every day like that
0,I don't think so. Cause they see me to and they don't speak
0,People need to understand that I am a very talkative person. So when. I don't want to speak. DON SPEAK TO ME OR ASK ME 1000 QUESTIONS
0,if i speak to you for more than like 2 days u must be interesting cos i lose interest in people so quickly
1,Absolutely LOVE waking up to the sound of the garbage truck out my window...  
1,I just love it when I use new face wash and my face breaks out in a rash 
1,Actions speak louder than words. So what you say a lot of words. Your actions say nothing to me.
0,"if I say idc then that means idc , so you will never hear me speak to much on something Idc about .. you bitches care fr"
1,bitch im 31 I speak to people how I want to you are nobody important so I speak to you like trailer trash lol anything else
0,I can't speak and write English. So I want to be able to English!!
1,I love going to the gym at this time 
0,i don't know when it became cool to blow people off until you force them outa your life. so you want something different. u needa speak up
0,Sometimes I listen to myself speak and I am so damn southern.
0,"I'd like to speak to someone at your national office, could you follow back so I can give u more info?"
0,you too my lovely. I'm on holiday count down!! I'm so flipping excited. Just trying to sort out streaky legs as we speak xx
0,I have no reason to understand or speak Spanish correctly so therefore I will not. 🇺🇸
0,Good to know you're here for me when I need you.     
0,"Yes, he is already in my following list. I was so fortunate to speak with him at  post game show in January."
1,"My fucking brother didn't know the meaning of shut up, so I had to speak to verify I wasn't 10."
0,God damn. Why did you speak to me. I was so close to escaping your intoxication for one single day. My mind cannot be free from you.
0,fucking so angry don't even speak to me
0,I don't know how to speak Japanese but I wish I did so I can get noticed by you   
1,I love it when this happens 
0,I hate when older or white people tell me I speak so well...like I'm supposed to be ignorant
1,I always like to increase my vocabulary to grow my ability of speaking Syntax in a well manner.
0,Bitches have so much animosity towards me but NEVER speak on it to ME...
1,Can't wait to see more of your breast feeding selfies. tweet
0,About to listen to for a third time I think it's the best I have heard so far. It's the best I have ever heard anyone speak.
1,"Thank you, random guy, for sneaking up behind me, and grabbing my face. That was no invasion of privacy whatsoever.   "
0,HOW DO YOU HAVE SO MUCH TO SPEAK ABOUT AT 7AM??
1,"I'm just sayin....I meant to post this a while back but I forgot....so when I saw it on IG, I decided to speak out"
1,Because i'm happy...
1,Good thing my professor emailed the class about our cancelled 9 am... 
0,i dont know about kurobas but some anime just... they dont even find someone who knows how to speak english and it's SO BAD
1,"Excited to hear exec speak at ! Live updates coming your way throughout the conference, so keep it here."
0,"By the way Man U fans, this is Champions league...so don't speak. First make it to CECAFA.."
0,I get so mad at myself when I realize I spent 2 years with someone that I will probably never speak to again. Lol at me
0,i heard mrs scheffer got us a sub who can speak spanish now so were actually gonna have to learn stuff
0,"My daughter just walked in her to use my bathroom.. I tried to stop her so she can go in hers n she put her hand up n said ""Speak after.. """
1,I love when it feels like he lied   
0,i have tonsillitis its so hard to speak
1,I literally look 10x uglier when I remove the make up 
1,"Had dinner, packed lunch for tomorrow, got an outfit ready, showered and got in bed. Wow, adult life is so cool  "
0,"I wish you've nothing to fear of me, that you'd speak your earned heart. I want so much to stfu. I'm just Timmy."
0,Bit eager aren't I...So early for work! If anyone's at already come speak to me lol
0,i know there's only a small chance but it would mean so much to me if i was able to speak to my sunshines 
0,I find it so annoying that it's impossible to speak to someone on the phone!!! Theirs not one option to speak to a provider!!annoyed
1,I love nights like these. Getting lost in my thoughts for hours is so much fun.   
0,I mean you tell me to speak to you when I see you but you dead look at me and walk away so idk.
1,I like to pretend I don't speak Spanish so I can listen to other peoples conversations
1,I literally keep finding myself singing anaconda out loud  
1,Don't you just love when ads load and play perfectly while the content lags and takes forever to load?  
1,Beyond excited to be studying birth rates in Poland for a full semester.   
0,"You don't even hardly speak to me Tell me, what could it be that lets you walk away so freely"
0,This man stopped me in my path n day just so he can speak to me and stutter
0,my favourite formal photo of me is one of me and a person who i really dislike and then others i don't speak to so that irritates me
1,8 am on a Monday is definitely the best time to try to give college kids Bibles
0,My first language is french and I've been to england all summer so now I speak perfectly english and stuff but I'm afraid to forget it
0,People tend to say one thing then do another. That's why actions speak so much louder than words
0,Yes so it seems. How are you Xert.? Long time no speak ? Hello Flip nice to meet you
0,"Thank you for allowing my following! Your Japanese is fluent,so I respect you.I'll also do my best to be able to speak English."
0,If you can not speak your mind to criminals for fear of losing you possessions your afraid so keep quit.
0,People don't be knowing what's really going on in this world so you speak truth it's shocking or crazy to them   
1,I seriously live being ignored. 
1,At least  treats all his kids equally. Shouldn't be playing favorites!   
1,Can't wait for tomorrow! Let the heckling begin!   
0,fucking ignorant .. you know nothing of peru to speak so disparagingly of us ... You can go to the ...
1,Apparently it's hard to be funny with a swollen throat and sleep deficiency.  
0,"The teacher chose me today to say something about the news in English, so i was like uhhm dude i cant speak english.. horrible."
0,"I choose to speak up on certain shit it's so much I could put on the table but I'll js be waisting my time, ."
1,Are You Thinking About Making A Permanent Move Somewhere Hot? If so the BBC would love to speak with you!
1,I mean not having a phone is kinda relaxin.. 
1,Oh how I love getting home from work at 3am and my house being dirty
0,Don't Speak Unless Spoken To So W/ That Being Said Don't Talk To me Unless I'm Talking To You .
1,I just love when my classes get canceled.  now I don't have anything to do today..
1,Being an internet zombie is fun! 
0,I don't really care either way because it's not harming anyone so it's not my business to speak for or against it
1,I love teams who park the bus against us. 
1,anyone know if Liverpool are back in the champions league tonight? haven't seen anything about it........ tweet
1,Good thing those blown calls by the refs didn't affect the game much.     
1,Nothing like having your entire body in pain before band.  
0,so there we have to speak the arabic language not the dialect !
0,"I always find it so cute when an infant tries to speak like an adult, ""Everybody look at me, take me seriously."" Cute."
0,im half arabic so i want to know my culture and speak to my relatives and cool im also part German but I dnt speak it     
1,"Being called ""naive"" by the tech guy, Mr. McCrumb and my friends makes me feel so good about myself.   "
1,Another nice family dinner 
0,"How in the heck are all of the foreign students so smart,get good grades and manage to be our TAs but cant even speak English?"
0,"Here's to the shy,self conscious people who think so much and speak so little,don't think they get enough recognition tbh."
